value, name,latitude,longitude
MS      ,Mathematical Sciences Building, 34.06967565731336, -118.44258218053677
BOELTER ,Boelter Hall, 34.069306028438255, -118.44322489867295
WGYOUNG ,W.G. Young Hall, 34.06862441499951, -118.44149733782281
MOL SCI ,Molecular Sciences Building (MSB), 34.06825977919226, -118.44091626723885
DODD    ,Dodd Hall, 34.07258981619318, -118.4393108488664
700 WWP ,Learning Resource Center, 34.066744342231594, -118.444788055328
ANDERSON,UCLA Anderson School of Management,34.07396286746076, -118.44357773120268
